u,v,e_type,ts,u_type,v_type,e_idx
458,1562,2,1673867858,1,3,610
248,1829,2,1673868235,1,3,611
96,2790,2,1673868235,1,3,612
248,1281,2,1673868235,1,3,613
248,1128,2,1673868235,1,3,614
248,1865,2,1673868235,1,3,615
248,590,2,1673868235,1,3,616
96,387,2,1673868235,1,3,617
96,203,2,1673868235,1,3,618
96,1060,2,1673868235,1,3,619
96,2705,2,1673868235,1,3,620
458,4073,0,1673869418,1,2,621
490,4073,1,1673869418,1,2,622
96,13015,1,1673869710,1,2,623
248,13015,0,1673869710,1,2,624
490,817,2,1673870644,1,3,625
490,2021,2,1673870644,1,3,626
458,230,2,1673870644,1,3,627
490,2341,2,1673870644,1,3,628
490,220,2,1673870644,1,3,629
458,111,2,1673870644,1,3,630
490,172,2,1673870644,1,3,631
458,1098,2,1673870644,1,3,632
458,2366,2,1673870644,1,3,633
458,1562,2,1673870644,1,3,634
248,1865,2,1673870912,1,3,635
248,590,2,1673870912,1,3,636
248,1128,2,1673870912,1,3,637
248,1281,2,1673870912,1,3,638
248,1829,2,1673870912,1,3,639
96,203,2,1673870912,1,3,640
96,2705,2,1673870912,1,3,641
96,1060,2,1673870912,1,3,642
96,387,2,1673870912,1,3,643
96,2790,2,1673870912,1,3,644
458,4074,0,1673872515,1,2,645
490,4074,1,1673872515,1,2,646
96,13016,1,1673872553,1,2,647
248,13016,0,1673872553,1,2,648
179,3056,2,1673885434,1,3,649
179,1179,2,1673885434,1,3,650
179,372,2,1673885434,1,3,651
179,91,2,1673885434,1,3,652
179,1180,2,1673885434,1,3,653
245,734,2,1673885434,1,3,654
245,2689,2,1673885434,1,3,655
245,2755,2,1673885434,1,3,656
245,625,2,1673885434,1,3,657
245,2140,2,1673885434,1,3,658
233,568,2,1673885580,1,3,659
233,306,2,1673885580,1,3,660
233,452,2,1673885580,1,3,661
233,2161,2,1673885580,1,3,662
233,1328,2,1673885580,1,3,663
304,2290,2,1673885580,1,3,664
304,239,2,1673885580,1,3,665
304,595,2,1673885580,1,3,666
304,1303,2,1673885580,1,3,667
304,2659,2,1673885580,1,3,668
245,4697,0,1673887372,1,2,669
179,4697,1,1673887372,1,2,670
233,11382,0,1673887533,1,2,671
304,11382,1,1673887533,1,2,672
71,599,2,1673889017,1,3,673
71,1292,2,1673889017,1,3,674
71,640,2,1673889017,1,3,675
306,2496,2,1673889017,1,3,676
306,1692,2,1673889017,1,3,677
306,554,2,1673889017,1,3,678
306,1818,2,1673889017,1,3,679
71,231,2,1673889017,1,3,680
71,2845,2,1673889017,1,3,681
306,601,2,1673889017,1,3,682
95,863,2,1673889262,1,3,683
95,1824,2,1673889262,1,3,684
95,548,2,1673889262,1,3,685
95,1795,2,1673889262,1,3,686
95,2777,2,1673889262,1,3,687
361,2431,2,1673889262,1,3,688
361,1156,2,1673889262,1,3,689
361,1241,2,1673889262,1,3,690
361,746,2,1673889262,1,3,691
361,2847,2,1673889262,1,3,692
372,2664,2,1673890064,1,3,693
372,2193,2,1673890064,1,3,694
372,488,2,1673890064,1,3,695
36,2424,2,1673890064,1,3,696
372,1886,2,1673890064,1,3,697
372,2836,2,1673890064,1,3,698
36,1209,2,1673890064,1,3,699
36,1785,2,1673890064,1,3,700
36,1821,2,1673890064,1,3,701
36,2630,2,1673890064,1,3,702
306,4693,1,1673890665,1,2,703
71,4693,0,1673890665,1,2,704
36,11375,1,1673891163,1,2,705
372,11375,0,1673891163,1,2,706
95,8958,0,1673891543,1,2,707
361,8958,1,1673891543,1,2,708
180,2741,2,1673892232,1,3,709
180,1498,2,1673892232,1,3,710
180,2988,2,1673892232,1,3,711
471,914,2,1673892232,1,3,712
471,561,2,1673892232,1,3,713
471,2971,2,1673892232,1,3,714
471,1304,2,1673892232,1,3,715
471,1383,2,1673892232,1,3,716
180,2583,2,1673892232,1,3,717
180,2591,2,1673892232,1,3,718
146,310,2,1673893312,1,3,719
146,2451,2,1673893312,1,3,720
146,221,2,1673893312,1,3,721
146,2948,2,1673893312,1,3,722
290,2272,2,1673893312,1,3,723
290,1351,2,1673893312,1,3,724
290,1529,2,1673893312,1,3,725
290,138,2,1673893312,1,3,726
290,468,2,1673893312,1,3,727
146,1723,2,1673893312,1,3,728
176,639,2,1673893375,1,3,729
176,389,2,1673893375,1,3,730
176,2762,2,1673893375,1,3,731
35,1504,2,1673893375,1,3,732
35,2526,2,1673893375,1,3,733
35,1302,2,1673893375,1,3,734
35,2789,2,1673893375,1,3,735
176,2446,2,1673893375,1,3,736
176,134,2,1673893375,1,3,737
35,1580,2,1673893375,1,3,738
471,4694,0,1673894450,1,2,739
180,4694,1,1673894450,1,2,740
35,11376,1,1673895174,1,2,741
176,11376,0,1673895174,1,2,742
146,8959,1,1673895420,1,2,743
290,8959,0,1673895420,1,2,744
163,1721,2,1673896043,1,3,745
163,806,2,1673896043,1,3,746
163,1344,2,1673896043,1,3,747
163,2641,2,1673896043,1,3,748
163,391,2,1673896043,1,3,749
274,1257,2,1673896043,1,3,750
274,234,2,1673896043,1,3,751
274,167,2,1673896043,1,3,752
274,681,2,1673896043,1,3,753
274,2860,2,1673896043,1,3,754
312,1488,2,1673896800,1,3,755
312,2899,2,1673896800,1,3,756
312,1110,2,1673896800,1,3,757
312,1894,2,1673896800,1,3,758
196,1000,2,1673896800,1,3,759
196,2761,2,1673896800,1,3,760
196,2588,2,1673896800,1,3,761
196,1236,2,1673896800,1,3,762
196,1614,2,1673896800,1,3,763
312,2376,2,1673896800,1,3,764
415,1323,2,1673897156,1,3,765
252,1500,2,1673897156,1,3,766
252,926,2,1673897156,1,3,767
252,838,2,1673897156,1,3,768
415,396,2,1673897156,1,3,769
415,2184,2,1673897156,1,3,770
415,2871,2,1673897156,1,3,771
252,2316,2,1673897156,1,3,772
252,1006,2,1673897156,1,3,773
415,409,2,1673897156,1,3,774
163,4695,1,1673898220,1,2,775
274,4695,0,1673898220,1,2,776
252,11380,0,1673898985,1,2,777
415,11380,1,1673898985,1,2,778
312,8948,0,1673899361,1,2,779
196,8948,1,1673899361,1,2,780
364,27,2,1673899742,1,3,781
364,1019,2,1673899742,1,3,782
364,1096,2,1673899742,1,3,783
